Result;Type;Category;Position X;Position Y
1;1;2;7.519197;7.696
1;1;2;6.585618;6.899802
1;1;2;2.573487;7.097387
1;1;2;1.118302;6.556724
1;0;1;2.401296;2.256436
1;0;2;4.484812;0.4691359
1;0;2;5.998034;1.805493
1;0;1;6.087394;1.035203
1;0;2;5.61949;1.643306
1;0;1;5.204999;2.379255
2;1;2;6.083366;7.891459
2;1;1;3.384199;7.09165
2;1;1;1.652986;6.97921
2;1;1;5.927642;6.596399
2;1;2;7.44335;9.303811
2;0;1;7.964386;2.069339
2;0;0;2.854105;2.05068
2;0;1;1.79457;2.374429
2;0;1;6.812704;1.578308
2;0;0;6.201017;2.228845
2;0;0;1.120967;2.511016
2;0;1;4.914916;1.904137
2;0;0;2.512962;0.8910322
3;1;1;6.887815;7.532222
3;1;1;7.967375;7.093815
3;1;1;2.096832;9.027838
3;1;1;1.030308;8.075386
3;1;1;3.457511;6.529867
3;1;1;5.413362;6.605027
3;0;1;4.19352;1.38813
3;0;1;1.225491;1.769728
3;0;0;6.882711;2.062913
3;0;0;3.171453;2.328779
3;0;0;6.194018;1.215252
3;0;1;2.948636;1.765602
3;0;0;5.022659;2.217233
3;0;0;6.661299;1.387092
3;0;0;4.670533;0.5752846
4;1;1;3.230216;7.2679
4;1;2;1.395223;7.943795
4;1;1;6.920232;7.571813
4;1;1;1.359111;7.101896
4;1;2;4.470199;7.61956
4;0;0;5.333016;0.8717422
4;0;2;2.775614;1.969166
4;0;0;7.965491;2.475132
4;0;0;7.04837;2.213025
4;0;2;8.726219;2.272891
4;0;2;3.497949;1.415235
4;0;0;6.113082;0.8483655
5;1;1;4.190571;7.104029
5;1;2;5.192215;7.690548
5;1;1;8.010867;7.165668
5;1;2;6.899563;7.442324
5;1;1;1.220098;8.358225
5;0;2;4.73337;2.286381
5;0;1;6.072335;1.632272
5;0;1;0.7131203;1.618453
5;0;1;5.503426;0.7994461
5;0;0;6.54945;0.5696231
5;0;2;4.439261;1.151821
5;0;0;0.9259107;0.560285
6;1;1;8.121988;7.356627
6;1;2;1.541987;6.364346
6;1;1;5.661357;6.886919
6;1;1;4.029975;6.575359
6;1;2;2.762393;8.972896
6;0;0;6.112698;0.5501734
6;0;0;0.852561;2.412839
6;0;0;1.764894;0.9073999
6;0;1;2.157966;2.168245
6;0;1;7.873804;1.720749
6;0;1;1.003698;1.834384
6;0;0;4.697192;0.7485228
6;0;2;6.605466;0.7299509
7;1;2;8.13258;7.404211
7;1;2;4.460558;6.733983
7;1;2;6.208427;7.750929
7;1;1;1.836128;6.634839
7;0;1;5.910575;1.96027
7;0;2;6.840208;2.11763
7;0;1;2.333065;1.6372
7;0;1;1.446556;1.163426
7;0;2;1.560024;2.156582
7;0;1;5.406258;1.726536
8;1;2;8.048282;9.205765
8;1;1;8.100285;6.683406
8;1;1;4.57739;6.475482
8;1;1;2.687666;6.620012
8;1;2;6.978633;7.994616
8;0;0;7.863669;1.632094
8;0;0;2.208735;2.350629
8;0;0;2.779951;1.906145
8;0;2;6.905408;1.55292
8;0;1;3.995927;0.6563427
8;0;0;6.254066;0.4401841
8;0;1;8.299176;1.22285
8;0;0;7.336387;1.962592
9;1;2;8.406411;9.064303
9;1;2;7.562967;7.57279
9;1;1;4.38824;7.710355
